"","n_ord","dataset","ID_dataset","decimalLatitude","decimalLongitude","retener","anio","mes","dia","stateProvince","county","locality","habitat"
"337",337,"mexu","MEXU_1198320",15.847902,-95.97822,"si",2002,2,19,"Oaxaca","Santiago Astata","1.5 km al N de Barra de la Cruz","Vegetacion secundaria de selva baja caducifolia"
"338",338,"mexu","MEXU_1204086",15.77753,-96.17514,"si",2004,12,1,"Oaxaca","Santa Maria Huatulco","En el puente Cacaluta de la carr. Costera a Pochutla, sobre el rio Cacaluta",""
"339",339,"mexu","MEXU_1213230",17.4258014,-101.189232,"si",1982,2,1,"Guerrero","Petatlan","Loma Bonita","Acahual, suelo limosa-arcilloso"
"340",340,"mexu","MEXU_1371747",22.039395,-104.931508,"si",2009,1,31,"Nayarit","Ruiz","Inmediaciones de la margen izquierda del rio San Pedro Ixcatan"," "
"341",341,"mexu","MEXU_1372817",23.332189,-105.97378,"si",2006,1,8,"Sinaloa","Concordia","Desviacion a La Guasima por la MEX 40, Comunidad La Guasima (nornoreste de Concordia)",""
"342",342,"mexu","MEXU_1291451",21.433,-98.033,"si",2001,3,15,"Veracruz","Chontla","Alrededores de Llano grande, Tontoyuca- Ejido Comales",""
"343",343,"mexu","MEXU_1218484",15.92867,-96.06611,"si",2002,1,12,"Oaxaca","San Miguel del Puerto","Camino al Achiote, a 2300m de Santa Maria Xadani",""
"344",344,"mexu","MEXU_1237503",15.92867,-96.06611,"si",2002,1,12,"Oaxaca","San Miguel del Puerto","Camino al Achiote, a 2300m de Santa Maria Xadani","Vegetacion secundaria de selva baja caducifolia"
"345",345,"mexu","MEXU_1237504",15.855566,-96.003564,"si",2001,12,10,"Oaxaca","Santiago Astata","800m al N de la boca na Zimatan sobre el rio","Vegetacion secundaria de selva baja caducifolia, orilla de rio"
"346",346,"mexu","MEXU_1237579",15.98111,-96.09722,"si",2001,1,14,"Oaxaca","San Miguel del Puerto","Puente rio San Lorenzo, 2.8km al W, sobre la brecha a Montecarlo",""
"347",347,"mexu","MEXU_1268812",19.017,-104.317,"si",2005,1,9,"Colima","Manzanillo","Las brisas, frente a la zona militar al final de la Avenida Lazaro Cardenas",""
"348",348,"mexu","MEXU_1383750",17.83211,-101.408,"si",2013,1,11,"Guerrero","Zihuatanejo de Azueta","Aprox 19 km al SO de Vallecitos de Zaragosa y a 19km al NE de El Camalote, carr. Ciudad Altamirano-Zihuatanejo",""
"349",349,"mexu","MEXU_1383955",17.894695,-101.353385,"si",1985,12,12,"Guerrero","Zihuatanejo de Azueta","En El Cedral, 5 km al SO de Vallecitos de Zaragoza",""
"350",350,"mexu","MEXU_1246482",15.72375,-96.16383,"si",2005,11,29,"Oaxaca","Santa Maria Huatulco","En la playa Cacaluta por donde salen las motos",""
"351",351,"mexu","MEXU_565489",18.23300754,-96.39871418,"si",1987,2,12,"Oaxaca","San Miguel Soyaltepec","500 m de la hidroelectrica al Vertedor de La Presa Temascal","Limites de la selva mediana subperennifolia on Brosimum alicastrum, clima calido humedo, suelo karstico"
"352",352,"mexu","MEXU_416113",15.7035542,-96.48622385,"si",1966,2,8,"Oaxaca","","Entre Pochutla y Puerto Angel, km 246",""
"355",355,"mexu","MEXU_963262",15.905,-96.14361,"si",2000,1,25,"Oaxaca","San Miguel del Puerto","Copalitilla, cascadas del rio",""
"356",356,"mexu","MEXU_970985",15.90944,-96.13778,"si",1999,11,20,"Oaxaca","San Miguel del Puerto","Rancho Copalitilla, al W de Santa Maria Xadani",""
"357",357,"mexu","MEXU_970995",15.83972,-96.35694,"si",1999,2,23,"Oaxaca","Santa Maria Huatulco","La Herradura, 2.9km, brecha Santa Maria Magdalena",""
"358",358,"mexu","MEXU_868691",17.1,-94.933,"si",1987,2,20,"Oaxaca","","A lo largo de la carr. 185 Sarabia-Uxpanapa, entre Rio corte y 5km al O de Rio Corte",""
"359",359,"mexu","MEXU_981495",15.82230249,-95.97261829,"si",2000,3,8,"Oaxaca","Santiago Astata","Barra de la Cruz, 3km al SW, 1 km al N de Plaza Zimatan",""
"360",360,"mexu","MEXU_996172",15.833,-96.433,"si",1987,12,10,"Oaxaca","","3.6km al E de Chacalapa","Vegetacion secundaria de selva mediana con Curatela, suelo amarillo arcilloso"
"361",361,"mexu","MEXU_687002",19.317,-96.75,"si",1983,2,13,"Veracruz","Jalcomulco","Camino Jalcomulco-Buenavista",""
"362",362,"mexu","MEXU_709288",21.467,-104.917,"si",1988,1,14,"Nayarit","Tepic","km 20-30 camino de terraceria a el CuarenteĚąo-Cora-Jalcocotan, en la serrania de San Juan",""
"363",363,"mexu","MEXU_709341",21.483,-105.1,"si",1989,3,24,"Nayarit","Tepic","2km al SE de Tecuitata, brecha al Cora",""
"366",366,"mexu","MEXU_157208",18.232584,-96.411294,"si",1961,12,13,"Oaxaca","","Presa Temascal",""
"367",367,"mexu","MEXU_216069",18.195406,-96.087467,"si",1967,3,10,"Veracruz","Cosamaloapan de Carpio","Ciudad Aleman",""
"370",370,"mexu","MEXU_261850",19.31300537,-96.49265071,"si",1975,3,11,"Veracruz","Puente Nacional","Conejos","Caniada"
